호선,역명,시,동,구,X좌표,Y좌표,,,,,
1호선,청량리,서울특별시,전농동,동대문구,37.580178,127.046835,,,,,
1호선,제기동,서울특별시,제기동,동대문구,37.578103,127.034893,,,,,
1호선,신설동,서울특별시,신설동,동대문구,37.575297,127.025087,,,,,
1호선,동묘앞,서울특별시,숭인동,종로구,37.572627,127.016429,,,,,
1호선,동대문,서울특별시,창신동,종로구,37.57142,127.009745,,,,,
1호선,종로5가,서울특별시,종로5가,종로구,37.570926,127.001849,,,,,
1호선,종로3가,서울특별시,종로3가,종로구,37.571607,126.991806,,,,,
1호선,종각,서울특별시,종로1가,종로구,37.570161,126.982923,,,,,
1호선,시청,서울특별시,정동,중구,37.564718,126.977108,,,,,
1호선,서울역,서울특별시,남대문로5가,중구,37.554648,126.972559,,,,,
2호선,시청,서울특별시,서소문동,중구,37.564718,126.977108,,,,,
2호선,을지로입구,서울특별시,을지로1가,중구,37.566014,126.982618,,,,,
2호선,을지로3가,서울특별시,을지로3가,중구,37.566295,126.99191,,,,,
2호선,을지로4가,서울특별시,을지로4가,중구,37.566941,126.998079,,,,,
2호선,동대문역사문화공원,서울특별시,을지로7가,중구,37.565138,127.007896,,,,,
2호선,신당,서울특별시,신당동,중구,37.565972,127.01782,,,,,
2호선,상왕십리,서울특별시,하왕십리동,성동구,37.564354,127.029354,,,,,
2호선,왕십리,서울특별시,행당동,성동구,37.561533,127.037732,,,,,
2호선,한양대,서울특별시,행당동,성동구,37.555273,127.043655,,,,,
2호선,뚝섬,서울특별시,성수동1가,성동구,37.547184,127.047367,,,,,
2호선,성수,서울특별시,성수동2가,성동구,37.544581,127.055961,,,,,
2호선,건대입구,서울특별시,자양동,광진구,37.537077,127.085916,,,,,
2호선,구의,서울특별시,구의동,광진구,37.535095,127.094681,,,,,
2호선,강변,서울특별시,구의동,광진구,37.520733,127.10379,,,,,
2호선,잠실,서울특별시,잠실동,송파구,37.51395,127.102234,,,,,
2호선,신천,서울특별시,잠실동,송파구,37.511687,127.086162,,,,,
2호선,종합운동장,서울특별시,잠실동,송파구,37.510997,127.073642,,,,,
2호선,삼성,서울특별시,삼성동,강남구,37.508844,127.06316,,,,,
2호선,선릉,서울특별시,삼성동,강남구,37.504503,127.049008,,,,,
2호선,역삼,서울특별시,역삼동,강남구,37.500622,127.036456,,,,,
2호선,강남,서울특별시,역삼동,강남구,37.497175,127.027926,,,,,
2호선,교대,서울특별시,서초동,서초구,37.493415,127.01408,,,,,
2호선,서초,서울특별시,서초동,서초구,37.491897,127.007917,,,,,
2호선,방배,서울특별시,방배동,서초구,37.481426,126.997596,,,,,
2호선,사당,서울특별시,사당동,동작구,37.47653,126.981685,,,,,
2호선,낙성대,서울특별시,봉천동,관악구,37.47693,126.963693,,,,,
2호선,서울대입구,서울특별시,봉천동,관악구,37.481247,126.952739,,,,,
2호선,봉천,서울특별시,봉천동,관악구,37.482362,126.941892,,,,,
2호선,신림,서울특별시,신림동,관악구,37.484201,126.929715,,,,,
2호선,신대방,서울특별시,신대방동,동작구,37.487462,126.913149,,,,,
2호선,구로디지털단지,서울특별시,구로동,구로구,37.485266,126.901401,,,,,
2호선,대림,서울특별시,구로동,구로구,37.49297,126.895801,,,,,
