호선,역명,시,구,동,X좌표,Y좌표,,,,
5,방화,서울특별시,강서구,방화동,37.577446,126.812741,,,,
5,개화산,서울특별시,강서구,방화동,37.572399,126.806171,,,,
5,김포공항,서울특별시,강서구,방화동,37.562434,126.801058,,,,
5,송정,서울특별시,강서구,공항동,37.561184,126.811973,,,,
5,마곡,서울특별시,강서구,가양동,37.560183,126.825448,,,,
5,발산,서울특별시,강서구,가양동,37.558598,126.837668,,,,
5,우장산,서울특별시,강서구,화곡동,37.548768,126.836318,,,,
5,화곡,서울특별시,강서구,화곡동,37.541513,126.840461,,,,
5,까치산,서울특별시,강서구,화곡동,37.531768,126.846683,,,,
5,신정,서울특별시,양천구,신정동,37.524997,126.856191,,,,
5,목동,서울특별시,양천구,목동,37.526065,126.864931,,,,
5,오목교,서울특별시,양천구,목동,37.524496,126.875181,,,,
5,양평,서울특별시,영등포구,양평동2가,37.525648,126.885778,,,,
5,영등포구청,서울특별시,영등포구,당산동3가,37.52497,126.895951,,,,
5,영등포시장,서울특별시,영등포구,영등포동5가,37.522669,126.905139,,,,
5,신길,서울특별시,영등포구,영등포동1가,37.517122,126.917169,,,,
5,여의도,서울특별시,영등포구,여의도동,37.521624,126.924191,,,,
5,여의나루,서울특별시,영등포구,여의도동,37.527098,126.932901,,,,
5,마포,서울특별시,마포구,도화동,37.539574,126.945932,,,,
5,공덕 ,서울특별시,마포구,공덕동,37.544018,126.951592,,,,
5,애오개,서울특별시,마포구,아현동,37.553736,126.95682,,,,
5,충정로,서울특별시,서대문구,충정로3가,37.559973,126.963672,,,,
5,서대문,서울특별시,종로구,평동,37.565773,126.966641,,,,
5,광화문,서울특별시,종로구,세종로,37.571026,126.976669,,,,
5,종로3가,서울특별시,종로구,돈의동,37.571607,126.991806,,,,
5,을지로4가,서울특별시,중구,주교동,37.566941,126.998079,,,,5,청구,서울특별시,중구,신당동,37.560245,127.013828,,,,
5,신금호,서울특별시,성동구,금호동2가,37.554548,127.020331,,,,
5,행당,서울특별시,성동구,행당동,37.557322,127.029476,,,,
5,왕십리,서울특별시,성동구,행당동,37.561533,127.037732,,,,
5,마장,서울특별시,성동구,마장동,37.5661,127.042973,,,,
5,답십리,서울특별시,성동구,용답동,37.566747,127.052704,,,,
5,장한평,서울특별시,동대문구,장안동,37.56144,127.064623,,,,
5,군자,서울특별시,광진구,능동,37.557121,127.079542,,,,
5,아차산,서울특별시,광진구,능동,37.551691,127.089761,,,,
5,광나루,서울특별시,광진구,광장동,37.545303,127.10357,,,,
5,천호,서울특별시,강동구,천호동,37.538397,127.123572,,,,
5,강동,서울특별시,강동구,천호동,37.535804,127.132481,,,,
5,길동,서울특별시,강동구,길동,37.537801,127.140004,,,,
5,굽은다리,서울특별시,강동구,명일동,37.545477,127.142853,,,,
5,명일,서울특별시,강동구,명일동,37.55137,127.143999,,,,
5,고덕,서울특별시,강동구,고덕동,37.555004,127.154151,,,,
5,상일동,서울특별시,강동구,상일동,37.556712,127.166417,,,,
5,둔촌동,서울특별시,강동구,둔촌동,37.527788,127.136248,,,,
5,올림픽공원,서울특별시,송파구,방이동,37.516078,127.130848,,,,
5,방이,서울특별시,송파구,방이동,37.508857,127.126133,,,,
5,오금,서울특별시,송파구,오금동,37.502162,127.128111,,,,
5,개롱,서울특별시,송파구,가락동,37.498079,127.13482,,,,
5,거여,서울특별시,송파구,거여동,37.493105,127.14415,,,,
5,마천,서울특별시,송파구,마천동,37.49499,127.152781,,,,
6,응암,서울특별시,은평구,역촌동,37.598605,126.915577,,,,
6,불광,서울특별시,은평구,대조동,37.610469,126.929887,,,,
