호선,역명,상세주소 ,시,구,동,X좌표,Y좌표
9,언주,서울특별시 강남구 봉은사로 201 논현동,서울특별시,강남구,논현동,37.507287,127.033868
9,선정릉,서울특별시 강남구 선릉로 지하 580 삼성동,서울특별시,강남구,삼성동,37.51098,127.043593
9,삼성중앙,서울특별시 강남구 봉은사로 지하 501 삼성동,서울특별시,강남구,삼성동,37.513011,127.053282
9,봉은사,서울특별시 강남구 봉은사로 지하601 삼성동,서울특별시,강남구,삼성동,37.514219,127.060245
9,종합운동장,서울특별시 송파구 올림픽로 지하 23 잠실동,서울특별시,송파구,잠실동,37.510997,127.073642
9,개화,서울특별시 강서구 개화동로8길 19 개화동,서울특별시,강서구,개화동,37.578608,126.798153
9,공항시장,서울특별시 강서구 방화동로 지하30 공항동,서울특별시,강서구,공항동,37.563726,126.810678
9,신방화,서울특별시 강서구 방화대로 지하301 방화동,서울특별시,강서구,방화동,37.567532,126.816601
9,마곡나루,서울특별시 강서구 마곡중앙5로 지하2 마곡동 ,서울특별시,강서구,마곡동,37.567336,126.829497
9,가양,서울특별시 강서구 양천로 지하485 가양동,서울특별시,강서구,가양동,37.561391,126.854456
9,증미,서울특별시 강서구 양천로 지하560 등촌동,서울특별시,강서구,등촌동,37.557402,126.861939
9,등촌,서울특별시 강서구 공항대로 지하 529 등촌동,서울특별시,강서구,등촌동,37.550632,126.865689
9,신목동,서울특별시 양천구 목동중앙로 지하 217 목동,서울특별시,양천구,목동,37.544277,126.88308
9,선유도,서울특별시 영등포구 양평로 지하 124 양평동5가,서울특별시,영등포구,양평동5가,37.53802,126.893525
9,당산,서울특별시 영등포구 당산로 229 당산동6가,서울특별시,영등포구,당산동6가,37.53438,126.902281
9,여의도,서울특별시 영등포구 의사당대로 지하101 여의도동,서울특별시,영등포구,여의도동,37.521624,126.924191
9,샛강,서울특별시 영등포구 의사당대로 지하166 여의도동,서울특별시,영등포구,여의도동,37.517274,126.928422
9,노량진,서울특별시 동작구 노량진로 지하130 노량진동,서울특별시,동작구,노량진동,37.514219,126.942454
9,흑석,서울특별시 동작구 현충로 지하90 흑석동,서울특별시,동작구,흑석동,37.50877,126.963708
9,동작,서울특별시 동작구 현충로 지하220 동작동,서울특별시,동작구,동작동,37.502971,126.979306
