번호,음식
1,가락국수
2,가래떡
3,가오리찜
4,가자미
5,가자미구이
6,가자미식해
7,가자미조림
8,가지
9,가지나물
10,가지선
11,가지전
12,가지찜
13,간볶음
14,간장
15,간장게장
16,간전
17,간회
18,갈비구이
19,갈비찜
20,갈비탕
21,갈치구이
22,갈치조림
23,감
24,감자
25,감자떡
26,감자볶음
27,감자송편
28,감자전
29,감자조림
30,감잣국
31,갓김치
32,강냉이밥
33,강냉이범벅
34,강정
35,갖은양념
37,개피떡
38,건어포
39,겉절이
40,게
41,게살전
42,게장
43,겨자채
44,겨자초장
45,결명자차
46,경단
47,계란
49,계란탕
50,계피차
51,고구마
52,고구마순나물
53,고구마전
54,고구마튀김
55,고들빼기김치
56,고등어구이
57,고등어조림
58,고명
59,고물
60,고사리
61,고사리나물
62,고추
63,고추볶음
64,고추장
65,고추장아찌
66,고추전
67,고추조림
68,고추찜
69,고춧가루
70,고춧잎나물
71,골동반
72,골뱅이무침
73,곰국수
74,곰탕/곰국
75,곱창
76,곱창구이
77,곱창전골
78,곶감
79,과편
81,광어회
82,구기자차
83,구절판
84,국
85,국밥
86,국수
87,국수장국
88,국수전골
89,국화주
90,굴
91,굴밥
92,굴비
93,굴전
94,굴젓
95,굴탕
96,굴튀김
97,귤
98,김
99,김구이
100,김무침
101,김밥
102,김부각
103,김치
104,김치냉면
105,김치누름적
106,김치만두
107,김치말이
108,김치밥
109,김치볶음
110,김치볶음밥
111,김치전
112,김치찌개
113,김칫국
114,깍두기
115,깨
116,깨강정
117,깨국수
118,깨소금
119,깨죽
120,깻국
121,깻잎
122,깻잎나물
123,깻잎부각
124,깻잎장아찌
125,깻잎전
126,꼬리곰탕
127,꼬막무침
128,꼬치구이
129,꼴뚜기젓
130,꽁치
131,꽁치구이
132,꽁치조림
133,꽃게
134,꽃게찜
135,꽃게탕
136,꾸미
137,꿩고기
138,꿩구이
139,꿩김치
140,꿩만두
141,꿩칼국수
142,나물
143,나박김치
144,낙지
145,낙지볶음
146,낙지전골
147,낙지회
148,내장탕
149,냉국
150,냉국수
151,냉면
152,냉이
153,냉이나물
154,냉잇국
155,너비아니
156,노각생채
157,녹두
158,녹두묵
159,녹두빈대떡
160,녹두죽
161,녹차
162,녹차밥
163,농어
164,누룽지
165,누름적
166,다슬깃국
167,다시마
168,다시마쌈
169,다시마조림
170,다시마튀각
171,다식
173,단자
174,달걀
175,달걀부침
176,달걀장조림
177,달걀찜
178,달래
179,달래무침
180,닭갈비구이
181,닭강정
182,닭고기
183,닭곰탕
184,닭고기구이
185,닭똥집
186,닭백숙
187,닭볶음
188,닭조림
189,닭죽
190,닭찜
191,닭칼국수
192,닭튀김
193,담북장찌개
194,담채죽
195,당귀차
196,대게찜
197,대구
198,대구섞박지
199,대구탕
200,대나무통밥
201,대추
202,대추단자
203,대추생강차
204,대추죽
205,대추차
206,대추초
207,대하
208,대하구이
209,대하전
210,대하찜
211,대합
212,대합구이
213,대합별탕
214,대합전골
215,대합죽
216,대합찜
217,더덕
218,더덕구이
219,더덕김치
220,더덕무침
221,더덕생채
222,더덕장아찌
223,도가니탕
224,도라지
225,도라지나물
226,도라지생채
227,도라지정과
228,도미
229,도미구이
230,도미조림
231,도미죽
232,도미찜
233,도미회
234,도토리
235,도토리냉면
236,도토리떡
237,도토리묵
238,돌나물
239,돌솥밥
240,돌솥비빔밥
241,동동주
242,동치미
243,동치미냉면
244,동태
245,동태매운탕
246,동태섞박지
247,동태찌개
248,돼지갈비강정
249,돼지갈비구이
250,돼지갈비찜
251,돼지고기
252,돼지고기구이
253,돼지고기김치볶음
254,돼지고기볶음
255,돼지고기편육
256,돼지머리편육
257,돼지불고기
258,되비지찌개
259,된장
260,된장국
261,된장찌개
262,두견주
263,두견화전
264,두루치기
265,두릅
266,두릅나물
267,두릅산적
268,두릅전
269,두릅회
270,두부
271,두부부침 
272,두부선
273,두부전골
274,두부젓국찌개
275,두부조림
276,두부지짐
277,두부찌개
278,두텁떡
279,들기름
280,들깨
281,들깨엿강정
282,들깨죽
283,등심구이
284,따로국밥
285,딸기
286,땅콩
287,떡
288,떡갈비
289,떡국
290,떡꼬치구이
291,떡만둣국
292,떡볶이
293,떡산적
294,라면
295,마늘
296,마늘장아찌
297,마늘종
298,마늘종볶음
299,마늘종장아찌
300,마른안주
301,막걸리
302,막국수
303,막김치
304,막장
305,만두
306,만두전골
307,만둣국
308,맑은장국
309,매실
310,매실주
311,매운탕
312,매작과
313,머위나물
314,먹장어구이
315,먹장어회
316,멍게
317,메기매운탕
318,메밀
319,메밀국수
320,메밀묵
321,메주
322,멸치
323,멸치볶음
324,명란
325,명란젓
326,명란찌개
327,명란찜
328,명태
329,모과
330,모과차
331,모둠전
332,모둠회
333,무
334,무나물
335,무말랭이무침
336,무말랭이장아찌
337,무생채
338,무지개떡
339,무채무침
340,무청김치
341,묵
342,문배주
343,문어
344,문어숙회
345,물김치
346,물냉면
347,물만두
348,물엿
349,무맑은탕
350,미나리
351,미나리강회
352,미나리무침
353,미더덕찜
354,미삼무침
355,미숫가루
356,미역
357,미역국
358,미역냉국
359,미역무침
360,미역쌈
361,미역초회
362,미음
363,민어
364,민어구이
365,민어매운탕
366,민어포
367,밀감
368,밀쌈
369,밑반찬
370,바람떡
371,박오가리나물
372,반찬
373,밤
374,밤단자
375,밤초
376,밥
377,배
378,배숙
379,배추
380,배추겉절이
381,배추김치
382,배추꼬릿국
383,배추속댓국
