법정동코드,시도명,시군구명,읍면동명,동리명,생성일자,말소일자
3611010100,세종특별자치시,,반곡동,,20120701,
3611010200,세종특별자치시,,소담동,,20120701,
3611010300,세종특별자치시,,보람동,,20120701,
3611010400,세종특별자치시,,대평동,,20120701,
3611010500,세종특별자치시,,가람동,,20120701,
3611010600,세종특별자치시,,한솔동,,20120701,
3611010700,세종특별자치시,,나성동,,20120701,
3611010800,세종특별자치시,,새롬동,,20120701,
3611010900,세종특별자치시,,다정동,,20120701,
3611011000,세종특별자치시,,어진동,,20120701,
3611011100,세종특별자치시,,종촌동,,20120701,
3611011200,세종특별자치시,,고운동,,20120701,
3611011300,세종특별자치시,,아름동,,20120701,
3611011400,세종특별자치시,,도담동,,20120701,
3611025000,세종특별자치시,,조치원읍,,20120701,
3611025021,세종특별자치시,,조치원읍,원리,20120701,
3611025022,세종특별자치시,,조치원읍,상리,20120701,
3611025023,세종특별자치시,,조치원읍,평리,20120701,
3611025024,세종특별자치시,,조치원읍,교리,20120701,
3611025025,세종특별자치시,,조치원읍,정리,20120701,
3611025026,세종특별자치시,,조치원읍,명리,20120701,
3611025027,세종특별자치시,,조치원읍,남리,20120701,
3611025028,세종특별자치시,,조치원읍,침산리,20120701,
3611025029,세종특별자치시,,조치원읍,신흥리,20120701,
3611025030,세종특별자치시,,조치원읍,죽림리,20120701,
3611025031,세종특별자치시,,조치원읍,번암리,20120701,
3611025032,세종특별자치시,,조치원읍,신안리,20120701,
3611025033,세종특별자치시,,조치원읍,봉산리,20120701,
3611025034,세종특별자치시,,조치원읍,서창리,20120701,
3611031000,세종특별자치시,,연기면,,20120701,
3611031021,세종특별자치시,,연기면,연기리,20120701,
3611031022,세종특별자치시,,연기면,보통리,20120701,
3611031023,세종특별자치시,,연기면,눌왕리,20120701,
3611031024,세종특별자치시,,연기면,수산리,20120701,
3611031025,세종특별자치시,,연기면,세종리,20120701,
3611031026,세종특별자치시,,연기면,누리리,20120701,
3611031027,세종특별자치시,,연기면,한별리,20120701,
3611031028,세종특별자치시,,연기면,산울리,20120701,
3611031029,세종특별자치시,,연기면,해밀리,20120701,
3611032000,세종특별자치시,,연동면,,20120701,
3611032021,세종특별자치시,,연동면,내판리,20120701,
3611032022,세종특별자치시,,연동면,문주리,20120701,
3611032023,세종특별자치시,,연동면,명학리,20120701,
3611032024,세종특별자치시,,연동면,응암리,20120701,
3611032025,세종특별자치시,,연동면,노송리,20120701,
3611032026,세종특별자치시,,연동면,예양리,20120701,
3611032027,세종특별자치시,,연동면,송용리,20120701,
3611032028,세종특별자치시,,연동면,합강리,20120701,
3611032029,세종특별자치시,,연동면,다솜리,20120701,
3611032030,세종특별자치시,,연동면,용호리,20120701,
3611033000,세종특별자치시,,부강면,,20120701,
3611033021,세종특별자치시,,부강면,부강리,20120701,
3611033022,세종특별자치시,,부강면,행산리,20120701,
3611033023,세종특별자치시,,부강면,산수리,20120701,
3611033024,세종특별자치시,,부강면,갈산리,20120701,
3611033025,세종특별자치시,,부강면,문곡리,20120701,
3611033026,세종특별자치시,,부강면,등곡리,20120701,
3611033027,세종특별자치시,,부강면,노호리,20120701,
3611033028,세종특별자치시,,부강면,금호리,20120701,
3611034000,세종특별자치시,,금남면,,20120701,
3611034021,세종특별자치시,,금남면,용포리,20120701,
3611034022,세종특별자치시,,금남면,발산리,20120701,
3611034023,세종특별자치시,,금남면,감성리,20120701,
3611034024,세종특별자치시,,금남면,두만리,20120701,
3611034025,세종특별자치시,,금남면,용담리,20120701,
3611034026,세종특별자치시,,금남면,축산리,20120701,
3611034027,세종특별자치시,,금남면,금천리,20120701,
3611034028,세종특별자치시,,금남면,영치리,20120701,
3611034029,세종특별자치시,,금남면,남곡리,20120701,
3611034030,세종특별자치시,,금남면,황용리,20120701,
3611034031,세종특별자치시,,금남면,영대리,20120701,
3611034032,세종특별자치시,,금남면,달전리,20120701,
3611034033,세종특별자치시,,금남면,박산리,20120701,
3611034034,세종특별자치시,,금남면,대박리,20120701,
3611034035,세종특별자치시,,금남면,부용리,20120701,
3611034036,세종특별자치시,,금남면,장재리,20120701,
3611034037,세종특별자치시,,금남면,호탄리,20120701,
3611034038,세종특별자치시,,금남면,신촌리,20120701,
3611034039,세종특별자치시,,금남면,도암리,20120701,
3611034040,세종특별자치시,,금남면,성덕리,20120701,
3611034041,세종특별자치시,,금남면,영곡리,20120701,
3611034042,세종특별자치시,,금남면,성강리,20120701,
3611034043,세종특별자치시,,금남면,봉암리,20120701,
3611034044,세종특별자치시,,금남면,국곡리,20120701,
3611034045,세종특별자치시,,금남면,원봉리,20120701,
3611034046,세종특별자치시,,금남면,도남리,20120701,
3611034047,세종특별자치시,,금남면,집현리,20120701,
3611035000,세종특별자치시,,장군면,,20120701,
3611035021,세종특별자치시,,장군면,도계리,20120701,
3611035022,세종특별자치시,,장군면,평기리,20120701,
3611035023,세종특별자치시,,장군면,대교리,20120701,
3611035024,세종특별자치시,,장군면,봉안리,20120701,
3611035025,세종특별자치시,,장군면,금암리,20120701,
3611035026,세종특별자치시,,장군면,하봉리,20120701,
3611035027,세종특별자치시,,장군면,은용리,20120701,
3611035028,세종특별자치시,,장군면,산학리,20120701,
3611035029,세종특별자치시,,장군면,송문리,20120701,
3611035030,세종특별자치시,,장군면,송정리,20120701,
3611035031,세종특별자치시,,장군면,송학리,20120701,
3611035032,세종특별자치시,,장군면,용현리,20120701,
3611035033,세종특별자치시,,장군면,용암리,20120701,
3611035034,세종특별자치시,,장군면,태산리,20120701,
3611036000,세종특별자치시,,연서면,,20120701,
3611036021,세종특별자치시,,연서면,월하리,20120701,
3611036022,세종특별자치시,,연서면,쌍전리,20120701,
3611036023,세종특별자치시,,연서면,성제리,20120701,
3611036024,세종특별자치시,,연서면,고복리,20120701,
3611036025,세종특별자치시,,연서면,용암리,20120701,
3611036026,세종특별자치시,,연서면,쌍류리,20120701,
3611036027,세종특별자치시,,연서면,청라리,20120701,
3611036028,세종특별자치시,,연서면,기룡리,20120701,
3611036029,세종특별자치시,,연서면,신대리,20120701,
3611036030,세종특별자치시,,연서면,국촌리,20120701,
3611036031,세종특별자치시,,연서면,와촌리,20120701,
3611036032,세종특별자치시,,연서면,부동리,20120701,
3611036033,세종특별자치시,,연서면,봉암리,20120701,
3611037000,세종특별자치시,,전의면,,20120701,
3611037021,세종특별자치시,,전의면,읍내리,20120701,
3611037022,세종특별자치시,,전의면,동교리,20120701,
3611037023,세종특별자치시,,전의면,서정리,20120701,
3611037024,세종특별자치시,,전의면,원성리,20120701,
