상세주소,Latitude,Longitude,사용기관,사용장소,state,district,road,detail1,detail2,,종류,road2,contents
서울특별시 종로구 새문안로5길 31센터포인트광화문,37.5719507,126.9743031,여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,,중식,도렴동,#광화문#단체모임#조용함#중식#단체석#주차#세련#수제딤섬
서울특별시 종로구 새문안로5길 31센터포인트광화문,37.5719507,126.9743031,여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,,중식,도렴동,#광화문#단체모임#조용함#중식#단체석#주차#세련#수제딤섬
서울특별시 종로구 새문안로5길 31센터포인트광화문,37.5719507,126.9743031,여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,,중식,도렴동,#광화문#단체모임#조용함#중식#단체석#주차#세련#수제딤섬
서울특별시 종로구 새문안로5길 31센터포인트광화문,37.5719507,126.9743031,여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,,중식,도렴동,#광화문#단체모임#조용함#중식#단체석#주차#세련#수제딤섬
서울특별시 종로구 새문안로5길 31센터포인트광화문,37.5719507,126.9743031,여성가족부,챠이(Chai)797광화문점,서울특별시,종로구,새문안로5길,31센터포인트광화문,챠이(Chai)797광화문점,,중식,도렴동,#광화문#단체모임#조용함#중식#단체석#주차#세련#수제딤섬
서울특별시 중구 서소문로 50,37.5608984,126.9670205,여성가족부,소호정 충정로점,서울특별시,중구,서소문로,50,소호정 충정로점,,한식,중림동,#수요미식회#시끌벅적한#대통령의맛집#저녁식사#칼국수#국수#수육
서울특별시 서초구 서초대로 283 남촌빌딩B1,37.493644,127.012675,여성가족부,서초원,서울특별시,서초구,서초대로,283,서초원,,한식,서초동,#모임#단체모임#한정식#한식#교대#맛집#한식
서울특별시 강남구 선릉로157길 21,37.5260134,127.0381382,여성가족부,부산집,서울특별시,강남구,선릉로157길,21,부산집,,한식,신사동,#한식#선릉역#한우#발렛파킹#주차#신사동
서울특별시 종로구 세종대로 175,37.5721241,126.9760848,여성가족부,광화문 아띠,서울특별시,종로구,세종대로,175,광화문 아띠,,양식,세종로,#광화문#세종문화회관#세종문화회관맛집#한식
서울특별시 종로구 세종대로 175,37.5721241,126.9760848,여성가족부,광화문 아띠,서울특별시,종로구,세종대로,175,광화문 아띠,,양식,세종로,#광화문#세종문화회관#세종문화회관맛집#한식
서울특별시 종로구 세종대로 175,37.5721241,126.9760848,여성가족부,라피아짜,서울특별시,종로구,세종대로,175,라피아짜,,양식,세종로,#광화문#이탈리아음식#세종문화회관#단체석#주차#포장#단체모임
서울특별시 중구 세종대로 136,37.5683731,126.9782699,여성가족부,생어거스틴,서울특별시,중구,세종대로,136,생어거스틴,,양식,태평로1가,#양식#광화문#종로맛집#팟타이#태국음식#단체회식#단체모임
서울특별시 중구 세종대로 136,37.5683731,126.9782699,여성가족부,생어거스틴,서울특별시,중구,세종대로,136,생어거스틴,,양식,태평로1가,#양식#광화문#종로맛집#팟타이#태국음식#단체회식#단체모임
서울특별시 중구 세종대로 55,37.5616036,126.9749464,여성가족부,식객촌 태평로점,서울특별시,중구,세종대로,55,식객촌 태평로점,,한식,태평로2가,#치맥#광화문#낙곱새#푸짐한밥상#상견레#런치#단체모임
서울특별시 중구 세종대로14길 22,37.5627592,126.9779108,여성가족부,대복집,서울특별시,중구,세종대로14길,22,대복집,,한식,북창동,#한식#비빔밥#경복궁역#된장찌개#할머니손맛#점심메뉴
서울특별시 강남구 언주로 123,37.4869126,127.0489647,여성가족부,매드포갈릭 도곡점,서울특별시,강남구,언주로,123,매드포갈릭 도곡점,,양식,도곡동,#피자#파스타#넒은실내#단체모임#가족모임#매봉역#발렛#양식
서울특별시 강남구 언주로 123,37.4869126,127.0489647,여성가족부,매드포갈릭 도곡점,서울특별시,강남구,언주로,123,매드포갈릭 도곡점,,양식,도곡동,#피자#파스타#넒은실내#단체모임#가족모임#매봉역#발렛#양식
서울특별시 영등포구 여의공원로 101,37.5292309,126.9248721,여성가족부,운산,서울특별시,영등포구,여의공원로,101,운산,,한식,여의도동,#여의도#한정식#한식#상견례#깜끔함#단체석#단체모임#한식
서울특별시 영등포구 여의공원로 101,37.5292309,126.9248721,여성가족부,운산,서울특별시,영등포구,여의공원로,101,운산,,한식,여의도동,#여의도#한정식#한식#상견례#깜끔함#단체석#단체모임#한식
서울특별시 종로구 율곡로 6,37.5754163,126.9801322,여성가족부,광화문 해리,서울특별시,종로구,율곡로,6,광화문 해리,,한식,중학동,#광화문#세꼬시#고등어구이#남도요리#바다요리#한식
서울특별시 영등포구 은행로 3,37.5274767,126.9196523,여성가족부,노조미,서울특별시,영등포구,은행로,3,노조미,,일식,여의도동,#여의도#일식#상견례#단체모임#예약#단체석#주차
서울특별시 용산구 이태원로 227,37.5355974,126.9988408,여성가족부,아라베스크,서울특별시,용산구,이태원로,227,아라베스크,,기타,한남동,#이태원#인도음식#할랄푸드
서울특별시 종로구 인사동11길 23,37.5736651,126.9834119,여성가족부,아지오(AGIO),서울특별시,종로구,인사동11길,23,아지오(AGIO),,양식,견지동,#종로#인사동#커플#양식#데이트
서울특별시 종로구 인사동11길 23,37.5736651,126.9834119,여성가족부,아지오(AGIO),서울특별시,종로구,인사동11길,23,아지오(AGIO),,양식,견지동,#종로#인사동#커플#양식#데이트
서울특별시 종로구 인사동14길 23,37.5749783,126.985236,여성가족부,누리,서울특별시,종로구,인사동14길,23,누리,,한식,관훈동,#한식#인사동#조용한분위기#도시락#배달
서울특별시 종로구 인사동14길 24-5,37.5747997,126.9856369,여성가족부,수연,서울특별시,종로구,인사동14길,43243,수연,,한식,관훈동,#인사동#한정식#한식#점심정식#저녁정식#아늑함#고풍스러움
서울특별시 종로구 인사동14길 24-5,37.5747997,126.9856369,여성가족부,수연,서울특별시,종로구,인사동14길,05월 24일,수연,,한식,관훈동,#인사동#한정식#한식#점심정식#저녁정식#아늑함#고풍스러움
서울특별시 종로구 자하문로 40길 75,37.5936369,126.9660269,여성가족부,소소한 풍경,서울특별시,종로구,자하문로,40길,소소한 풍경,,한식,부암동,#부암동#한정식#분위기좋은#단체석#단체모임
서울특별시 종로구 자하문로 33-5,37.578819,126.9710298,여성가족부,조우,서울특별시,종로구,자하문로,12175,조우,,양식,통인동,#종로구#오늘저녁#파스타#양식#자하문로
서울특별시 종로구 자하문로 125 48,37.5870598,126.9693777,여성가족부,지화자 청운점,서울특별시,종로구,자하문로,125,지화자 청운점,,한식,청운동,#한식#궁중음식점#한정식
서울특별시 종로구 자하문로10길 36,37.5792124,126.9734744,여성가족부,더솔키친,서울특별시,종로구,자하문로10길,36,더솔키친,,양식,통의동,#종로#양식#분위기좋은#서촌#미술관옆집#이탈리아음식
서울특별시 종로구 자하문로10길 36,37.5792124,126.9734744,여성가족부,더솔키친,서울특별시,종로구,자하문로10길,36,더솔키친,,양식,통의동,#종로#양식#분위기좋은#서촌#미술관옆집#이탈리아음식
